NoNodes, BFS (Depth) , BFS (Time), BFS (Space),DFS (Depth) , DFS (Time), DFS (Space),IDS (Depth) , IDS (Time), IDS (Space),A*S (Depth) , A*S (Time), A*S (Space)
1,0,53,53,60155,1793698,1793672,0,1,0,1,26,78
2,1,223,223,71150,1963015,1962989,1,6,1,2,52,156
3,2,674,674,92645,2085890,2085864,2,21,2,3,78,260
4,3,2142,2142,126776,3312826,3312800,3,60,3,4,130,468
5,5,7479,7479,64593,1707298,1707272,4,207,4,5,156,494
6,6,23856,23856,63804,1649871,1649845,5,672,5,6,1433,5009
7,7,74335,74335,83046,2023194,2023168,6,2223,6,7,3866,11814
8,8,251979,251979,140306,3862626,3862600,7,8225,7,8,6798,18904
9,9,755592,755592,125757,3491963,3491937,8,21768,8,9,1970,6223
10,10,2550346,2550346,137046,3604301,3604275,9,76130,9,10,17348,55635
11,11,6970764,6970764,86127,2362572,2362546,10,198250,10,11,61903,225435
12,12,19254779,19254779,192932,4899917,4899891,11,370056,11,12,143585,400354
